Price,Close,High,Low,Open,Volume
Ticker,^N225,^N225,^N225,^N225,^N225
Date,,,,,
1980-11-14,7159.56005859375,7159.56005859375,7159.56005859375,7159.56005859375,0
1980-11-17,7126.16015625,7126.16015625,7126.16015625,7126.16015625,0
1980-11-18,7102.47998046875,7102.47998046875,7102.47998046875,7102.47998046875,0
1980-11-19,7135.93994140625,7135.93994140625,7135.93994140625,7135.93994140625,0
1980-11-20,7126.72998046875,7126.72998046875,7126.72998046875,7126.72998046875,0
1980-11-21,7117.89990234375,7117.89990234375,7117.89990234375,7117.89990234375,0
1980-11-25,7145.43017578125,7145.43017578125,7145.43017578125,7145.43017578125,0
1980-11-26,7186.2998046875,7186.2998046875,7186.2998046875,7186.2998046875,0
1980-11-27,7172.169921875,7172.169921875,7172.169921875,7172.169921875,0
1980-11-28,7123.6201171875,7123.6201171875,7123.6201171875,7123.6201171875,0
1980-12-01,7160.2900390625,7160.2900390625,7160.2900390625,7160.2900390625,0
1980-12-02,7143.06005859375,7143.06005859375,7143.06005859375,7143.06005859375,0
1980-12-03,7141.2001953125,7141.2001953125,7141.2001953125,7141.2001953125,0
1980-12-04,7149.47021484375,7149.47021484375,7149.47021484375,7149.47021484375,0
1980-12-05,7136.60009765625,7136.60009765625,7136.60009765625,7136.60009765625,0
1980-12-08,7125.1298828125,7125.1298828125,7125.1298828125,7125.1298828125,0
1980-12-09,7115.10009765625,7115.10009765625,7115.10009765625,7115.10009765625,0
1980-12-10,7098.85009765625,7098.85009765625,7098.85009765625,7098.85009765625,0
1980-12-11,7042.41015625,7042.41015625,7042.41015625,7042.41015625,0
1980-12-12,7033.7001953125,7033.7001953125,7033.7001953125,7033.7001953125,0
1980-12-15,7042.669921875,7042.669921875,7042.669921875,7042.669921875,0
1980-12-16,7036.759765625,7036.759765625,7036.759765625,7036.759765625,0
1980-12-17,7038.10009765625,7038.10009765625,7038.10009765625,7038.10009765625,0
1980-12-18,7063.5400390625,7063.5400390625,7063.5400390625,7063.5400390625,0
1980-12-19,7060.52001953125,7060.52001953125,7060.52001953125,7060.52001953125,0
1980-12-22,7050.7900390625,7050.7900390625,7050.7900390625,7050.7900390625,0
1980-12-23,7023.56982421875,7023.56982421875,7023.56982421875,7023.56982421875,0
1980-12-24,7042.0,7042.0,7042.0,7042.0,0
1980-12-25,7031.8701171875,7031.8701171875,7031.8701171875,7031.8701171875,0
1980-12-26,7063.1298828125,7063.1298828125,7063.1298828125,7063.1298828125,0
1980-12-29,7063.1298828125,7063.1298828125,7063.1298828125,7063.1298828125,0
1980-12-30,7063.1298828125,7063.1298828125,7063.1298828125,7063.1298828125,0
1981-01-05,7150.9501953125,7150.9501953125,7150.9501953125,7150.9501953125,0
1981-01-06,7137.58984375,7137.58984375,7137.58984375,7137.58984375,0
1981-01-07,7200.77001953125,7200.77001953125,7200.77001953125,7200.77001953125,0
1981-01-08,7222.14013671875,7222.14013671875,7222.14013671875,7222.14013671875,0
1981-01-09,7248.1298828125,7248.1298828125,7248.1298828125,7248.1298828125,0
1981-01-12,7251.8798828125,7251.8798828125,7251.8798828125,7251.8798828125,0
1981-01-13,7246.7998046875,7246.7998046875,7246.7998046875,7246.7998046875,0
1981-01-14,7244.77978515625,7244.77978515625,7244.77978515625,7244.77978515625,0
1981-01-16,7255.85009765625,7255.85009765625,7255.85009765625,7255.85009765625,0
1981-01-19,7296.080078125,7296.080078125,7296.080078125,7296.080078125,0
1981-01-20,7289.97998046875,7289.97998046875,7289.97998046875,7289.97998046875,0
1981-01-21,7315.330078125,7315.330078125,7315.330078125,7315.330078125,0
1981-01-22,7293.27978515625,7293.27978515625,7293.27978515625,7293.27978515625,0
1981-01-23,7267.52001953125,7267.52001953125,7267.52001953125,7267.52001953125,0
1981-01-26,7249.419921875,7249.419921875,7249.419921875,7249.419921875,0
1981-01-27,7285.02978515625,7285.02978515625,7285.02978515625,7285.02978515625,0
1981-01-28,7279.41015625,7279.41015625,7279.41015625,7279.41015625,0
1981-01-29,7215.1201171875,7215.1201171875,7215.1201171875,7215.1201171875,0
1981-01-30,7254.009765625,7254.009765625,7254.009765625,7254.009765625,0
1981-02-02,7322.06005859375,7322.06005859375,7322.06005859375,7322.06005859375,0
1981-02-03,7291.31005859375,7291.31005859375,7291.31005859375,7291.31005859375,0
1981-02-04,7288.41015625,7288.41015625,7288.41015625,7288.41015625,0
1981-02-05,7278.43994140625,7278.43994140625,7278.43994140625,7278.43994140625,0
1981-02-06,7264.10986328125,7264.10986328125,7264.10986328125,7264.10986328125,0
1981-02-09,7239.89990234375,7239.89990234375,7239.89990234375,7239.89990234375,0
1981-02-10,7261.52978515625,7261.52978515625,7261.52978515625,7261.52978515625,0
1981-02-12,7261.490234375,7261.490234375,7261.490234375,7261.490234375,0
1981-02-13,7207.22021484375,7207.22021484375,7207.22021484375,7207.22021484375,0
1981-02-16,7165.52001953125,7165.52001953125,7165.52001953125,7165.52001953125,0
1981-02-17,7135.91015625,7135.91015625,7135.91015625,7135.91015625,0
1981-02-18,7157.0,7157.0,7157.0,7157.0,0
1981-02-19,7121.64990234375,7121.64990234375,7121.64990234375,7121.64990234375,0
1981-02-20,7100.81005859375,7100.81005859375,7100.81005859375,7100.81005859375,0
1981-02-23,7095.259765625,7095.259765625,7095.259765625,7095.259765625,0
1981-02-24,7111.22998046875,7111.22998046875,7111.22998046875,7111.22998046875,0
1981-02-25,7121.66015625,7121.66015625,7121.66015625,7121.66015625,0
1981-02-26,7120.240234375,7120.240234375,7120.240234375,7120.240234375,0
1981-02-27,7146.52978515625,7146.52978515625,7146.52978515625,7146.52978515625,0
1981-03-02,7155.580078125,7155.580078125,7155.580078125,7155.580078125,0
1981-03-03,7137.1201171875,7137.1201171875,7137.1201171875,7137.1201171875,0
1981-03-04,7134.39013671875,7134.39013671875,7134.39013671875,7134.39013671875,0
1981-03-05,7094.02978515625,7094.02978515625,7094.02978515625,7094.02978515625,0
1981-03-06,7081.18994140625,7081.18994140625,7081.18994140625,7081.18994140625,0
1981-03-09,7068.72998046875,7068.72998046875,7068.72998046875,7068.72998046875,0
1981-03-10,7059.41015625,7059.41015625,7059.41015625,7059.41015625,0
1981-03-11,7044.8701171875,7044.8701171875,7044.8701171875,7044.8701171875,0
1981-03-12,6986.39013671875,6986.39013671875,6986.39013671875,6986.39013671875,0
1981-03-13,6956.52001953125,6956.52001953125,6956.52001953125,6956.52001953125,0
1981-03-16,7124.330078125,7124.330078125,7124.330078125,7124.330078125,0
1981-03-17,7120.39013671875,7120.39013671875,7120.39013671875,7120.39013671875,0
1981-03-18,7176.669921875,7176.669921875,7176.669921875,7176.669921875,0
1981-03-19,7196.7998046875,7196.7998046875,7196.7998046875,7196.7998046875,0
1981-03-20,7220.93994140625,7220.93994140625,7220.93994140625,7220.93994140625,0
